Detached,AgeBand,Cwi,Loft,Dg,Cond,Swi,Ashp,Gshp,Bio,Pv,Shw,Total Used Energy
0,5,0,1,1,0,0,0,0,0,0,0,30856.4289
0,5,1,1,1,0,0,0,0,0,0,0,25071.0551
0,5,0,1,1,0,0,1,0,0,0,0,9981.083621
0,5,1,1,1,0,0,1,0,0,0,0,8506.878898
0,5,0,1,1,1,0,0,0,0,0,0,19381.74219
0,5,1,1,1,1,0,0,0,0,0,0,16043.54852
0,5,0,1,1,0,0,0,0,0,0,1,21639.41077
0,5,1,1,1,0,0,0,0,0,0,1,17561.99746
0,5,0,1,1,0,0,1,0,0,0,1,9654.547772
0,5,1,1,1,0,0,1,0,0,0,1,8180.218049
0,5,0,1,1,1,0,0,0,0,0,1,18148.92598
0,5,1,1,1,1,0,0,0,0,0,1,14803.65898
0,5,0,1,1,0,0,0,0,0,1,0,29544.33224
0,5,1,1,1,0,0,0,0,0,1,0,23758.95843
0,5,0,1,1,0,0,1,0,0,1,0,8668.986956
0,5,1,1,1,0,0,1,0,0,1,0,7194.782232
0,5,0,1,1,1,0,0,0,0,1,0,18069.64552
0,5,1,1,1,1,0,0,0,0,1,0,14731.45186
0,5,0,1,1,0,0,0,0,0,1,1,21258.38365
0,5,1,1,1,0,0,0,0,0,1,1,17180.97034
0,5,0,1,1,0,0,1,0,0,1,1,9273.520653
0,5,1,1,1,0,0,1,0,0,1,1,7799.19093
0,5,0,1,1,1,0,0,0,0,1,1,17767.89886
0,5,1,1,1,1,0,0,0,0,1,1,14422.63186
0,5,1,1,0,1,0,0,0,0,0,0,20715.79651
0,5,1,1,1,1,0,0,0,0,0,0,19763.11072
0,5,1,1,0,0,0,1,0,0,0,0,10377.06144
0,5,1,1,1,0,0,1,0,0,0,0,10002.39702
0,5,1,1,0,1,0,0,0,0,0,1,17527.02563
0,5,1,1,1,1,0,0,0,0,0,1,16749.67477
0,5,1,1,0,0,0,1,0,0,0,1,10020.25961
0,5,1,1,1,0,0,1,0,0,0,1,9645.88945
0,5,1,1,0,1,0,0,0,0,1,0,19286.00403
0,5,1,1,1,1,0,0,0,0,1,0,18333.31824
0,5,1,1,0,0,0,1,0,0,1,0,8947.268966
0,5,1,1,1,0,0,1,0,0,1,0,8572.60454
0,5,1,1,0,1,0,0,0,0,1,1,17100.77372
0,5,1,1,1,1,0,0,0,0,1,1,16323.42286
0,5,1,1,0,0,0,1,0,0,1,1,9594.007693
0,5,1,1,1,0,0,1,0,0,1,1,9219.637534
0,5,1,0,1,1,0,0,0,0,0,0,16148.60559
0,5,1,1,1,1,0,0,0,0,0,0,16008.83377
0,5,1,0,1,0,0,1,0,0,0,0,7973.173786
0,5,1,1,1,0,0,1,0,0,0,0,7914.415843
0,5,1,0,1,1,0,0,0,0,0,1,13528.94977
0,5,1,1,1,1,0,0,0,0,0,1,13405.92619
0,5,1,0,1,0,0,1,0,0,0,1,7686.656158
0,5,1,1,1,0,0,1,0,0,0,1,7627.873417
0,5,1,0,1,1,0,0,0,0,1,0,15206.49323
0,5,1,1,1,1,0,0,0,0,1,0,15066.72141
0,5,1,0,1,0,0,1,0,0,1,0,7031.061427
0,5,1,1,1,0,0,1,0,0,1,0,6972.303485
0,5,1,0,1,1,0,0,0,0,1,1,13416.53071
0,5,1,1,1,1,0,0,0,0,1,1,13293.50714
0,5,1,0,1,0,0,1,0,0,1,1,7574.237099
0,5,1,1,1,0,0,1,0,0,1,1,7515.454358
0,8,1,0,1,1,0,0,0,0,0,0,14402.82458
0,8,1,1,1,1,0,0,0,0,0,0,13875.27995
0,8,1,0,1,0,0,1,0,0,0,0,5393.879076
0,8,1,1,1,0,0,1,0,0,0,0,5244.455078
0,8,1,0,1,1,0,0,0,0,0,1,11208.08571
0,8,1,1,1,1,0,0,0,0,0,1,10792.23932
0,8,1,0,1,0,0,1,0,0,0,1,5106.834671
0,8,1,1,1,0,0,1,0,0,0,1,4957.318178
0,8,1,0,1,1,0,0,0,0,1,0,13672.3506
0,8,1,1,1,1,0,0,0,0,1,0,13144.80597
0,8,1,0,1,0,0,1,0,0,1,0,4663.405092
0,8,1,1,1,0,0,1,0,0,1,0,4513.981094
0,8,1,0,1,1,0,0,0,0,1,1,11208.08571
0,8,1,1,1,1,0,0,0,0,1,1,10792.23932
0,8,1,0,1,0,0,1,0,0,1,1,5106.834671
0,8,1,1,1,0,0,1,0,0,1,1,4957.318178
0,7,0,0,0,0,0,0,0,0,0,0,18277.53755
0,7,1,0,0,0,0,0,0,0,0,0,16725.77791
0,7,0,1,0,0,0,0,0,0,0,0,17595.2615
0,7,1,1,0,0,0,0,0,0,0,0,16011.63473
0,7,0,0,1,0,0,0,0,0,0,0,17621.36527
0,7,1,0,1,0,0,0,0,0,0,0,16031.52369
0,7,0,1,1,0,0,0,0,0,0,0,16923.29159
0,7,1,1,1,0,0,0,0,0,0,0,15297.40706
0,7,0,0,0,0,0,1,0,0,0,0,7303.843161
0,7,1,0,0,0,0,1,0,0,0,0,6899.699809
0,7,0,1,0,0,0,1,0,0,0,0,7127.324459
0,7,1,1,0,0,0,1,0,0,0,0,6710.489455
0,7,0,0,1,0,0,1,0,0,0,0,7135.18307
0,7,1,0,1,0,0,1,0,0,0,0,6716.325913
0,7,0,1,1,0,0,1,0,0,0,0,6952.527407
0,7,1,1,1,0,0,1,0,0,0,0,6519.478382
0,7,0,0,0,1,0,0,0,0,0,0,15960.61406
0,7,1,0,0,1,0,0,0,0,0,0,14724.46412
0,7,0,1,0,1,0,0,0,0,0,0,15419.86693
0,7,1,1,0,1,0,0,0,0,0,0,14147.82564
0,7,0,0,1,1,0,0,0,0,0,0,15443.59624
0,7,1,0,1,1,0,0,0,0,0,0,14166.51355
0,7,0,1,1,1,0,0,0,0,0,0,14885.87461
0,7,1,1,1,1,0,0,0,0,0,0,13568.38604
0,7,0,0,0,0,0,0,0,0,0,1,16041.44531
0,7,1,0,0,0,0,0,0,0,0,1,14737.79277
0,7,0,1,0,0,0,0,0,0,0,1,15471.27238
0,7,1,1,0,0,0,0,0,0,0,1,14129.33033
0,7,0,0,1,0,0,0,0,0,0,1,15497.30271
0,7,1,0,1,0,0,0,0,0,0,1,14150.20551
0,7,0,1,1,0,0,0,0,0,0,1,14909.13427
0,7,1,1,1,0,0,0,0,0,0,1,13518.85805
0,7,0,0,0,0,0,1,0,0,0,1,7026.244074
0,7,1,0,0,0,0,1,0,0,0,1,6622.035961
0,7,0,1,0,0,0,1,0,0,0,1,6849.706135
0,7,1,1,0,0,0,1,0,0,0,1,6432.76539
0,7,0,0,1,0,0,1,0,0,0,1,6857.752136
0,7,1,0,1,0,0,1,0,0,0,1,6438.811523
0,7,0,1,1,0,0,1,0,0,0,1,6675.071704
0,7,1,1,1,0,0,1,0,0,0,1,6241.88566
0,7,0,0,0,1,0,0,0,0,0,1,14900.5919
0,7,1,0,0,1,0,0,0,0,0,1,13662.0854
0,7,0,1,0,1,0,0,0,0,0,1,14358.90472
0,7,1,1,0,1,0,0,0,0,0,1,13084.05669
0,7,0,0,1,1,0,0,0,0,0,1,14383.38443
0,7,1,0,1,1,0,0,0,0,0,1,13103.61574
0,7,0,1,1,1,0,0,0,0,0,1,13824.60156
0,7,1,1,1,1,0,0,0,0,0,1,12503.86623
0,7,0,0,0,0,0,0,0,0,1,0,16911.3317
0,7,1,0,0,0,0,0,0,0,1,0,15359.57206
0,7,0,1,0,0,0,0,0,0,1,0,16229.05565
0,7,1,1,0,0,0,0,0,0,1,0,14645.42888
0,7,0,0,1,0,0,0,0,0,1,0,16255.15942
0,7,1,0,1,0,0,0,0,0,1,0,14665.31784
0,7,0,1,1,0,0,0,0,0,1,0,15557.08574
0,7,1,1,1,0,0,0,0,0,1,0,13931.20121
0,7,0,0,0,0,0,1,0,0,1,0,5937.637312
0,7,1,0,0,0,0,1,0,0,1,0,5533.493959
0,7,0,1,0,0,0,1,0,0,1,0,5761.11861
0,7,1,1,0,0,0,1,0,0,1,0,5344.283605
0,7,0,0,1,0,0,1,0,0,1,0,5768.977221
0,7,1,0,1,0,0,1,0,0,1,0,5350.120063
0,7,0,1,1,0,0,1,0,0,1,0,5586.321557
0,7,1,1,1,0,0,1,0,0,1,0,5153.272533
0,7,0,0,0,1,0,0,0,0,1,0,14594.40821
0,7,1,0,0,1,0,0,0,0,1,0,13358.25827
0,7,0,1,0,1,0,0,0,0,1,0,14053.66108
0,7,1,1,0,1,0,0,0,0,1,0,12781.61979
0,7,0,0,1,1,0,0,0,0,1,0,14077.39039
0,7,1,0,1,1,0,0,0,0,1,0,12800.3077
0,7,0,1,1,1,0,0,0,0,1,0,13519.66876
0,7,1,1,1,1,0,0,0,0,1,0,12202.18019
0,7,0,0,0,0,0,0,0,0,1,1,15504.93276
0,7,1,0,0,0,0,0,0,0,1,1,14201.28022
0,7,0,1,0,0,0,0,0,0,1,1,14934.75983
0,7,1,1,0,0,0,0,0,0,1,1,13592.81778
0,7,0,0,1,0,0,0,0,0,1,1,14960.79016
0,7,1,0,1,0,0,0,0,0,1,1,13613.69296
0,7,0,1,1,0,0,0,0,0,1,1,14372.62172
0,7,1,1,1,0,0,0,0,0,1,1,12982.3455
0,7,0,0,0,0,0,1,0,0,1,1,6489.731524
0,7,1,0,0,0,0,1,0,0,1,1,6085.523411
0,7,0,1,0,0,0,1,0,0,1,1,6313.193584
0,7,1,1,0,0,0,1,0,0,1,1,5896.25284
0,7,0,0,1,0,0,1,0,0,1,1,6321.239586
0,7,1,0,1,0,0,1,0,0,1,1,5902.298973
0,7,0,1,1,0,0,1,0,0,1,1,6138.559154
0,7,1,1,1,0,0,1,0,0,1,1,5705.37311
0,7,0,0,0,1,0,0,0,0,1,1,14364.07935
0,7,1,0,0,1,0,0,0,0,1,1,13125.57285
0,7,0,1,0,1,0,0,0,0,1,1,13822.39217
0,7,1,1,0,1,0,0,0,0,1,1,12547.54414
0,7,0,0,1,1,0,0,0,0,1,1,13846.87188
0,7,1,0,1,1,0,0,0,0,1,1,12567.10319
0,7,0,1,1,1,0,0,0,0,1,1,13288.08901
0,7,1,1,1,1,0,0,0,0,1,1,11967.35368
0,8,0,0,1,0,0,0,0,0,0,0,7430.498747
0,8,1,0,1,0,0,0,0,0,0,0,7150.373672
0,8,0,1,1,0,0,0,0,0,0,0,7130.870603
0,8,1,1,1,0,0,0,0,0,0,0,6853.273833
